athlete_id;athlete_full_name;games_participations;first_game;athlete_year_birth
andrzej-kozlowski;Andrzej KOZLOWSKI;1;Barcelona 1992;1968
kalle-aejemelaeus;Kalle AEJEMELAEUS;1;Stockholm 1912;1882
jon-tecedor;Jon TECEDOR;1;Sydney 2000;1975
ann-johnston;Ann JOHNSTON;1;Cortina d'Ampezzo 1956;1936
salvatore-campanella;Salvatore CAMPANELLA;1;Barcelona 1992;1969
roman-torn;Roman TORN;1;Albertville 1992;1967
sarra-guezguez;Sarra GUEZGUEZ;1;Tokyo 2020;2005
ivan-semenov-1;Ivan SEMENOV;1;Tokyo 1964;1936
peter-conover-hains;Peter Conover HAINS;1;Amsterdam 1928;
arthur-vollstedt;Arthur VOLLSTEDT;1;St. Moritz 1928;1892
adelfino-mancinelli;Adelfino MANCINELLI;1;Helsinki 1952;1908
lisi-pall;Lisi PALL;1;Grenoble 1968;1951
joseph-almasian;Joseph ALMASIAN;1;Lillehammer 1994;1967
antoniu-vasile;Antoniu VASILE;2;Mexico City 1968;1942
iveta-voralova;Iveta VORALOVA;1;Calgary 1988;1970
abraham-de-jesus-conyedo-ruano;Abraham de Jesus CONYEDO RUANO;1;Tokyo 2020;1993
evert-nilsson;Evert NILSSON;2;Antwerp 1920;1894
raphaelle-monod;Raphaelle MONOD;3;Calgary 1988;1969
joel-bettin;Joel BETTIN;1;Seoul 1988;1969
salome-pazhava;Salome PAZHAVA;2;Rio 2016;1997
nemo-bahari;Nemo BAHARI;1;Atlanta 1996;1975
sandalio-calderon;Sandalio CALDERON;1;Montreal 1976;
leonie-ebert;Leonie EBERT;1;Tokyo 2020;1999
paul-laciga;Paul LACIGA;2;Sydney 2000;1970
roberto-d-angelo;Roberto D'ANGELO;1;Munich 1972;1945
ironbar-bassey;Ironbar BASSEY;1;Los Angeles 1984;1965
karl-kother-1;Karl KÖTHER;1;Munich 1972;1942
jorge-gonzalo-luna-rivera;Jorge Gonzalo LUNA RIVERA;2;Barcelona 1992;1957
vaino-jeremias-sipila;Väinö Jeremias SIPILÄ;2;Paris 1924;1897
gloria-rosa;Gloria ROSA;1;Seoul 1988;1958
gabriela-szabo;Gabriela SZABO;2;Atlanta 1996;1975
catharina-lindgren;Catharina LINDGREN;1;Sarajevo 1984;1963
kaarle-tapper;Kaarle TAPPER;2;Rio 2016;1995
dag-natterqvist;Dag NATTERQVIST;1;Rome 1960;1922
katharina-wick;Katharina WICK;1;Beijing 2022;1996
