discipline_title;slug_game;event_title;event_gender;medal_type;participant_type;participant_title;athlete_id;country_name;country_3_letter_code
Figure skating;pyeongchang-2018;Ice Dance;Mixed;GOLD;GameTeam;Canada team #1;scott-moir;Canada;CAN
Athletics;sydney-2000;4x400m relay men;Men;BRONZE;GameTeam;The Bahamas team;;Bahamas;BAH
Synchronized Swimming;london-2012;team women;Women;SILVER;GameTeam;People's Republic of China team;;People's Republic of China;CHN
Tennis;rio-2016;Singles men;Men;BRONZE;Athlete;;kei-nishikori;Japan;JPN
Boxing;montreal-1976;75-81kg lightheavyweight men;Men;GOLD;Athlete;;leonard-jr-spinks;United States of America;USA
Wrestling;paris-1924;Lightweight, Freestyle (?66 kilograms) Men;Men;BRONZE;Athlete;;arvo-haavisto;Finland;FIN
Swimming;beijing-2008;100m backstroke men;Men;GOLD;Athlete;;aaron-peirsol;United States of America;USA
Badminton;tokyo-2020;Men's Singles;Men;BRONZE;Athlete;;anthony-sinisuka-ginting;Indonesia;INA
Weightlifting;berlin-1936;67.5-75kg middleweight men;Men;GOLD;Athlete;;;Egypt;EGY
Hockey;los-angeles-1984;hockey men;Men;GOLD;GameTeam;Pakistan team;;Pakistan;PAK
Fencing;helsinki-1952;foil team men;Men;SILVER;GameTeam;Italy team;;Italy;ITA
Diving;antwerp-1920;3m springboard women;Women;GOLD;Athlete;;aileen-riggin;United States of America;USA
Sailing;mexico-city-1968;flying dutchman mixed;Open;GOLD;GameTeam;Great Britain team;rodney-stuart-pattisson;Great Britain;GBR
Swimming;munich-1972;4x100m medley relay women;Women;SILVER;GameTeam;East Germany team;;German Democratic Republic (Germany);GDR
Figure skating;london-1908;Pairs mixed;Mixed;GOLD;GameTeam;Germany team;heinrich-burger;Germany;GER
Swimming;mexico-city-1968;100m breaststroke women;Women;GOLD;Athlete;;djurdjica-bjedov;Yugoslavia;YUG
Athletics;tokyo-2020;Men's Javelin Throw;Men;BRONZE;Athlete;;vitezslav-vesely;Czech Republic;CZE
Swimming;rome-1960;200m breaststroke men;Men;SILVER;Athlete;;yoshihiko-osaki;Japan;JPN
Athletics;atlanta-1996;800m men;Men;GOLD;Athlete;;vebjorn-rodal;Norway;NOR
Wrestling;beijing-2008;Middleweight, Greco-Roman (?74 kilograms) Men;Men;BRONZE;Athlete;;christophe-guenot;France;FRA
Bobsleigh;innsbruck-1964;two-man men;Men;BRONZE;GameTeam;Italy team #1;sergio-siorpaes;Italy;ITA
Gymnastics Artistic;los-angeles-1932;rings men;Men;SILVER;Athlete;;william-thomas-denton;United States of America;USA
Athletics;los-angeles-1932;shot put men;Men;BRONZE;Athlete;;frantisek-douda;Czechoslovakia;TCH
